Rank,NOC,País,Ouro,Prata,Bronze,Total
1,NOR,Norway,148,134,123,405
2,USA,United States,113,122,95,330
3,GER,Germany,112,104,70,286
4,AUT,Austria,71,88,91,250
5,CAN,Canada,77,72,76,225
6,URS,Soviet Union,78,57,59,194
7,SWE,Sweden,65,51,60,176
8,FIN,Finland,45,65,65,175
9,SUI,Switzerland,63,47,58,168
10,NED,Netherlands,53,49,45,147
11,ITA,Italy,42,43,56,141
12,FRA,France,41,42,55,138
13,RUS,Russian Federation,46,39,35,120
14,GDR,East Germany,39,36,35,110
15,KOR,Republic of Korea,33,30,16,79
16,CHN,People's Republic of China,22,32,23,77
17,JPN,Japan,17,28,31,76
18,ROC,ROC,8,18,23,49
19,FRG,West Germany,11,15,13,39
20,GBR,Great Britain,12,5,17,34
21,CZE,Czechia,10,11,13,34
22,TCH,Czechoslovakia,2,8,15,25
23,SLO,Slovenia,4,8,12,24
24,EUN,Unified Team,9,6,8,23
25,POL,Poland,7,7,9,23
26,BLR,Belarus,8,7,5,20
27,AUS,Australia,6,7,6,19
28,CRO,Croatia,4,6,1,11
29,SVK,Slovakia,4,4,2,10
30,HUN,Hungary,2,2,6,10
31,LIE,Liechtenstein,2,2,6,10
32,LAT,Latvia,1,3,6,10
33,UKR,Ukraine,3,2,4,9
34,EST,Estonia,4,2,2,8
35,BEL,Belgium,2,2,4,8
36,KAZ,Kazakhstan,1,3,4,8
37,NZL,New Zealand,2,2,2,6
38,BUL,Bulgaria,1,2,3,6
39,ESP,Spain,1,1,3,5
40,YUG,Yugoslavia,0,3,1,4
41,LUX,Luxembourg,0,2,0,2
42,PRK,Democratic People's Republic of Korea,0,1,1,2
43,MIX,Mixed team,1,0,0,1
44,UZB,Uzbekistan,1,0,0,1
45,DEN,Denmark,0,1,0,1
46,ROU,Romania,0,0,1,1
