País,Ouro (Verão),Prata (Verão),Bronze (Verão),Total (Verão),Ouro (Inverno),Prata (Inverno),Bronze (Inverno),Total (Inverno),Ouro (Total),Prata (Total),Bronze (Total),Total Geral
Afeganistão,0,0,2,2,0,0,0,0,0,0,2,2
Albânia,0,0,2,2,0,0,0,0,0,0,2,2
África do Sul,28,36,31,95,0,0,0,0,27,33,29,89
Alemanha,201,205,246,652,92,88,60,240,293,293,306,892
Alemanha Oriental,153,129,127,409,39,36,35,110,192,165,162,519
Alemanha Ocidental,56,67,81,204,11,15,13,39,67,82,94,243
Equipe Alemã Unida,28,54,36,118,8,6,5,19,36,60,41,137
Antilhas Neerlandesas,0,1,0,1,0,0,0,0,0,1,0,1
Arábia Saudita,0,2,2,4,0,0,0,0,0,2,2,4
Argélia,7,4,9,20,0,0,0,0,5,4,8,17
Argentina,22,27,31,80,0,0,0,0,21,26,30,77
Armênia,2,11,9,22,0,0,0,0,2,8,8,18
Australásia,3,4,5,12,0,0,0,0,3,4,5,12
Austrália,182,192,226,600,5,5,5,15,169,178,215,562
Áustria,21,34,44,99,64,81,87,232,83,115,128,326
Azerbaijão,9,16,31,56,0,0,0,0,7,14,28,49
Bahamas,8,2,6,16,0,0,0,0,8,2,6,16
Barém,4,3,1,8,0,0,0,0,2,2,0,4
Barbados,0,0,1,1,0,0,0,0,0,0,1,1
Bielorrússia,13,30,42,85,8,5,5,18,21,35,47,103
Bélgica,46,55,64,165,1,2,3,5,44,56,61,161
Bermudas,1,0,1,2,0,0,0,0,1,0,1,2
Boêmia,0,1,3,4,0,0,0,0,0,1,3,4
Botsuana,1,2,1,4,0,0,0,0,0,1,1,2
Brasil,40,49,81,170,1,0,0,1,41,49,81,171
Federação das Índias Ocidentais,0,0,2,2,0,0,0,0,0,0,2,2
Bulgária,57,89,85,231,1,2,3,6,55,90,85,230
Burquina Fasso,0,0,1,1,0,0,0,0,0,0,1,1
Burundi,1,1,0,2,0,0,0,0,1,1,0,2
Camarões,3,1,2,6,0,0,0,0,3,1,2,6
Canadá,80,115,158,353,73,64,62,199,144,172,209,525
Catar,2,1,6,9,0,0,0,0,2,1,5,8
Cazaquistão,16,24,39,79,1,3,4,8,16,24,40,80
Checoslováquia,49,49,45,143,2,8,15,25,51,57,60,168
Chile,3,8,4,15,0,0,0,0,2,7,4,13
China,302,226,197,725,13,28,21,62,275,227,194,696
Chipre,0,2,0,1,0,0,0,0,0,1,0,1
Colômbia,5,16,17,38,0,0,0,0,5,13,16,34
Coreia do Norte,16,18,26,60,0,1,1,2,16,17,23,56
Coreia do Sul,109,100,110,319,31,25,14,70,127,116,114,357
Costa Rica,1,1,2,4,0,0,0,0,1,1,2,4
Costa do Marfim,1,1,3,5,0,0,0,0,1,1,2,4
Croácia,16,15,17,48,4,6,1,11,18,19,15,52
Cuba,87,72,91,250,0,0,0,0,85,71,85,241
Dinamarca,50,80,84,214,0,1,0,1,48,79,79,206
Djibuti,0,0,1,1,0,0,0,0,0,0,1,1
Dominica,1,0,0,1,0,0,0,0,1,0,0,1
Egito,9,12,20,41,0,0,0,0,8,11,19,38
