País,Ouro (Verão),Prata (Verão),Bronze (Verão),Total (Verão)
Estados Unidos,1101,880,780,2761
União Soviética,395,319,296,1010
Grã-Bretanha,299,338,344,981
França,242,284,302,828
China,302,226,197,725
Itália,229,201,228,658
Alemanha,201,205,246,652
Austrália,182,192,226,600
Japão,189,162,191,542
Hungria,187,161,182,530
Suécia,152,180,182,514
Rússia,149,125,152,426
Alemanha Oriental,153,129,127,409
Países Baixos,110,111,134,355
Canadá,80,115,158,353
Coreia do Sul,109,100,110,319
Romênia,93,101,123,317
Polônia,73,93,142,308
Finlândia,101,85,119,305
Cuba,87,72,91,250
Bulgária,57,89,85,231
Dinamarca,50,80,84,214
Suíça,54,81,78,213
Alemanha Ocidental,56,67,81,204
Espanha,53,76,56,185
Brasil,40,49,81,170
Noruega,64,52,52,168
Bélgica,46,55,64,165
Nova Zelândia,63,40,54,157
Ucrânia,38,41,72,151
Checoslováquia,49,49,45,143
Grécia,36,46,47,129
Quênia,39,44,41,124
Equipe Alemã Unida,28,54,36,118
Turquia,41,29,42,112
Equipa Unificada,45,38,29,112
Áustria,21,34,44,99
África do Sul,28,36,31,95
Jamaica,27,39,27,93
Iugoslávia,28,31,31,90
Irã,27,29,32,88
Bielorrússia,13,30,42,85
Argentina,22,27,31,80
Cazaquistão,16,24,39,79
México,13,27,38,78
Chéquia,22,21,29,72
ROC,20,28,23,71
Etiópia,24,15,23,62
Coreia do Norte,16,18,26,60
Azerbaijão,9,16,31,56
Uzbequistão,18,8,23,49
Croácia,16,15,17,48
Geórgia,13,15,19,47
Taipé Chinês,9,11,23,43
Irlanda,15,10,17,42
Egito,9,12,20,41
Índia,10,10,21,41
Tailândia,11,11,19,41
Indonésia,10,14,16,40
Colômbia,5,16,17,38
Estônia,10,9,17,36
Eslováquia,10,14,9,33
Portugal,6,11,15,32
Eslovênia,10,10,11,31
Mongólia,2,12,17,31
Lituânia,6,9,15,30
Sérvia,9,8,12,29
Nigéria,3,11,13,27
Marrocos,8,5,13,26
Armênia,2,11,9,22
Letônia,4,11,6,21
Argélia,7,4,9,20
Israel,4,6,10,20
Trinidad e Tobago,3,5,11,19
Venezuela,3,7,9,19
Filipinas,3,5,10,18
Tunísia,6,4,8,18
Equipa mista,8,5,4,17
Bahamas,8,2,6,16
Chile,3,8,4,15
Malásia,0,8,7,15
República Dominicana,4,5,6,15
Hong Kong,4,3,6,13
Quirguistão,0,5,8,13
Uganda,5,5,3,13
Australásia,3,4,5,12
Porto Rico,2,2,8,12
Paquistão,4,3,4,11
Equador,4,4,2,10
Moldávia,0,3,7,10
Uruguai,2,2,6,10
Catar,2,1,6,9
Barém,4,3,1,8
Império Russo,1,4,3,8
Zimbabwe,3,4,1,8
Tajiquistão,1,1,5,7
Camarões,3,1,2,6
Singapura,1,2,3,6
Costa do Marfim,1,1,3,5
Gana,0,1,4,5
Granada,1,1,3,5
Kosovo,3,1,1,5
Namíbia,0,5,0,5
Peru,1,3,1,5
Vietnã,1,3,1,5
Atletas Individuais Neutros,1,3,1,5
Arábia Saudita,0,2,2,4
Boêmia,0,1,3,4
Botsuana,1,2,1,4
Costa Rica,1,1,2,4
Fiji,2,1,1,4
Islândia,0,2,2,4
Jordânia,1,2,1,4
Líbano,0,2,2,4
Panamá,1,1,2,4
Síria,1,1,2,4
Guatemala,1,1,1,3
Kuwait,0,0,3,3
San Marino,0,1,2,3
Zâmbia,0,1,2,3
Participantes Olímpicos Independentes,0,1,2,3
Afeganistão,0,0,2,2
Albânia,0,0,2,2
Bermudas,1,0,1,2
Federação das Índias Ocidentais,0,0,2,2
Burundi,1,1,0,2
Emirados Árabes Unidos,1,0,1,2
Haiti,0,1,1,2
Luxemburgo,1,1,0,2
Macedônia do Norte,0,1,1,2
Moçambique,1,0,1,2
Níger,0,1,1,2
Santa Lúcia,1,1,0,2
Sérvia e Montenegro,0,2,0,2
Sri Lanka,0,2,0,2
Suriname,1,0,1,2
Tanzânia,0,2,0,2
Atletas Olímpicos Independentes,1,0,1,2
Antilhas Neerlandesas,0,1,0,1
Barbados,0,0,1,1
Burquina Fasso,0,0,1,1
Chipre,0,2,0,1
Djibuti,0,0,1,1
Dominica,1,0,0,1
Equipe Olímpica de Refugiados,0,0,1,1
Eritreia,0,0,1,1
Gabão,0,1,0,1
Guiana,0,0,1,1
Ilhas Virgens Americanas,0,1,0,1
Iraque,0,0,1,1
Maurício,0,0,1,1
Montenegro,0,1,0,1
Paraguai,0,1,0,1
Samoa,0,1,0,1
Senegal,0,1,0,1
Sudão,0,1,0,1
Togo,0,0,1,1
Tonga,0,1,0,1
Turcomenistão,0,1,0,1
Liechtenstein,0,0,0,0
Atletas Olímpicos da Rússia,0,0,0,0
