idPan;panNome;panNomeCompleto;idPan2;panNomeFantasia;panAbrangenciaTaxonomica;panAbrangenciaGeografica;panCiclo;panStatus;panCentro;panInicioData;panInicioAno;Data da portaria vigente do PAN;"Data do início da vigência do PAN na portaria 
(último artigo da portaria)";panFimData;panFimAno;panStatusLegal;panPortaria;panProcesso;panLogo;panSite
CEMAVE_01.01;(Finalizado) Mutum-do-sudeste;Plano de Ação Nacional para a Conservação do Mutum-do-sudeste;CEMAVE_01.01;Mutum-do-sudeste;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CEMAVE;01/01/2004;2004;12/12/2013;;01/12/2014;2014;Portaria com prazo expirado;Portaria 266 (12/12/2013);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mutum-do-sudeste
CEMAVE_02.01;(Finalizado) Albatrozes e Petréis - 1º ciclo;Plano de Ação Nacional para a Conservação dos Albatrozes e Petréis;CEMAVE_02.01;Albatrozes e Petréis;Intraclasse;Bioma;1º ciclo;Finalizado;CEMAVE;01/01/2006;2006;01/01/2006;;01/01/2006;2006;Portaria com prazo expirado;Livro (2006);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-albatrozes-e-petreis
CEMAVE_03.01;(Finalizado) Arara-azul-de-Lear - 1º ciclo;Plano de Ação Nacional para Conservação da Arara-azul-de-lear (Anodorhynchus leari);CEMAVE_03.01;Arara-azul-de-Lear;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CEMAVE;01/01/2006;2006;01/01/2006;;01/12/2011;2011;Portaria com prazo expirado;Livro (2006);02070.002414/2009-11;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-arara-azul-de-lear
CEMAVE_04.01;(Finalizado) Aves de Rapina;Plano de Ação Nacional para a Conservação de Aves de Rapina;CEMAVE_04.01;Aves de Rapina;Intraclasse;Nacional;1º ciclo;Finalizado;CEMAVE;04/04/2006;2006;01/01/2008;;01/12/2011;2011;Portaria com prazo expirado;Livro (2008);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-de-rapina
CEMAVE_18.01;(Finalizado) Pato-mergulhão - 1º ciclo;Plano de Ação Nacional para a Conservação do Pato-mergulhão;CEMAVE_18.01;Pato-mergulhão;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CEMAVE;08/04/2014;2006;08/04/2014;;01/02/2016;2016;Portaria com prazo expirado;Portaria 44 (08/04/2014);02070.000860/2012-97;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pato-mergulhao
CEMAVE_05.01;(Finalizado) Galliformes;Plano de Ação Nacional para a Conservação dos Galliformes;CEMAVE_05.01;Galliformes;Intraclasse;Nacional;1º ciclo;Finalizado;CEMAVE;25/04/2007;2007;01/01/2008;;01/12/2011;2011;Portaria com prazo expirado;Livro (2008);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-galliformes
CEMAVE_06.01;(Finalizado) Mutum-de-alagoas;Plano de Ação Nacional para a Conservação do Mutum-de-alagoas;CEMAVE_06.01;Mutum-de-alagoas;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CEMAVE;25/04/2007;2007;17/02/2012;;01/12/2013;2013;Portaria com prazo expirado;Portaria 20 (17/02/2012);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mutum-de-alagoas
CBC_01.01;(Finalizado) Lepidópteros;Plano de Ação Nacional para a Conservação de Lepidópteros;CBC_01.01;Lepidópteros;Intraclasse;Nacional;1º ciclo;Finalizado;CBC;27/08/2010;2010;27/08/2010;27/08/2010;01/12/2015;2015;Portaria com prazo expirado;Portaria 92 (27/08/2010);02070.002646/2010-11;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-lepidopteros
CECAV_01.01;(Finalizado) Morceguinho-do-cerrado;Plano de Ação Nacional para Conservação do Morceguinho-do-cerrado;CECAV_01.01;Morceguinho-do-cerrado;Monoespecífico;Bioma;1º ciclo;Finalizado;CECAV;27/08/2010;2010;27/08/2010;27/08/2010;01/09/2015;2015;Portaria com prazo expirado;Portaria 89 (27/08/2010);02070.003685/2009-94;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-morceguinho-do-cerrado
CEMAVE_07.01;(Finalizado) Formigueiro-do-litoral;Plano de Ação Nacional para Conservação do Formigueiro-do-litoral;CEMAVE_07.01;Formigueiro-do-litoral;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CEMAVE;27/08/2010;2010;06/04/2015;;01/08/2015;2015;Portaria com prazo expirado;Portaria 22 (06/04/2015);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-formigueiro-do-litoral
CEMAVE_08.01;(Finalizado) Soldadinho-do-araripe - 1º ciclo;Plano de Ação Nacional para Conservação do Soldadinho-do-araripe;CEMAVE_08.01;Soldadinho-do-araripe;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CEMAVE;27/08/2010;2010;27/03/2014;;01/08/2015;2015;Portaria com prazo expirado;Portaria 30 (27/03/2014);;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-soldadinho-do-araripe
CENAP_01.01;(Finalizado) Ariranha - 1º ciclo;Plano de Ação Nacional para a Conservação da Ariranha (Pteronura brasiliensis);CENAP_01.01;Ariranha;Monoespecífico;Específico (distribuição da espécie);1º ciclo;Finalizado;CENAP;27/08/2010;2010;27/08/2010;27/08/2010;01/08/2015;2015;Portaria com prazo expirado;Portaria 88 (27/08/2010);02070.004196/2010-93;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ariranha
